x,y,z
62,182,a
63,192,a
69,217,a
78,247,a
86,276,a
94,302,a
100,318,a
104,330,a
109,340,a
112,347,a
114,352,a
116,355,a
116,356,a
117,357,a
117,357,a
118,357,a
118,357,a
118,356,a
118,356,a
118,355,a
118,355,a
118,353,a
118,352,a
118,351,a
118,348,a
119,344,a
120,338,a
123,329,a
126,319,a
129,308,a
132,297,a
135,287,a
138,275,a
142,264,a
145,256,a
147,249,a
150,241,a
152,235,a
153,231,a
154,229,a
154,228,a
155,227,a
155,227,a
155,226,a
155,226,a
156,225,a
156,224,a
156,223,a
157,221,a
158,218,a
159,214,a
160,211,a
160,209,a
161,208,a
161,207,a
161,206,a
161,206,a
161,206,a
161,208,a
161,211,a
161,214,a
161,216,a
161,218,a
160,220,a
159,222,a
159,223,a
158,224,a
157,225,a
157,226,a
156,227,a
155,228,a
154,229,a
153,231,a
152,233,a
150,235,a
148,237,a
146,239,a
144,242,a
142,245,a
140,248,a
137,250,a
136,251,a
135,252,a
134,253,a
133,253,a
132,253,a
131,253,a
130,253,a
128,253,a
126,253,a
122,253,a
116,253,a
108,252,a
98,249,a
88,246,a
79,243,a
72,240,a
67,238,a
64,237,a
63,236,a
63,236,a
63,236,a
64,237,a
64,237,a
65,238,a
66,238,a
66,239,a
67,240,a
68,240,a
71,241,a
75,243,a
83,244,a
92,246,a
102,247,a
113,249,a
123,250,a
133,252,a
141,253,a
147,254,a
151,254,a
153,254,a
155,254,a
156,255,a
156,255,a
157,255,a
158,255,a
158,255,a
159,255,a
159,255,a
160,255,a
161,255,a
161,255,a
161,255,a
161,255,a
161,255,a
161,255,a
162,255,a
162,255,a
162,256,a
162,256,a
163,258,a
167,263,a
173,273,a
181,288,a
190,305,a
196,319,a
200,328,a
202,335,a
203,339,a
203,342,a
202,348,a
201,355,a
199,362,a
196,368,a
193,372,a
191,374,a
190,375,a
189,375,a
189,375,a
189,375,a
189,374,a
189,372,a
189,371,a
189,370,a
189,368,a
189,363,a
189,354,a
190,343,a
192,333,a
194,322,a
196,313,a
198,307,a
199,301,a
201,296,a
202,289,a
204,282,a
206,273,a
208,264,a
209,257,a
210,252,a
211,248,a
212,246,a
213,245,a
213,244,a
213,243,a
213,243,a
213,242,a
213,242,a
213,241,a
214,241,a
214,240,a
214,239,a
214,237,a
215,236,a
215,235,a
215,234,a
215,234,a
216,234,a
216,235,a
215,238,a
214,244,a
211,252,a
206,265,a
200,283,a
194,301,a
188,316,a
184,327,a
181,336,a
179,348,a
179,368,a
184,391,a
192,411,a
201,429,a
208,442,a
213,448,a
216,451,a
217,452,a
218,452,a
219,452,a
220,452,a
222,451,a
225,450,a
228,447,a
230,444,a
232,440,a
234,436,a
235,431,a
236,425,a
237,417,a
237,409,a
237,402,a
236,397,a
235,394,a
234,392,a
234,391,a
232,388,a
230,384,a
227,379,a
224,373,a
221,368,a
217,365,a
215,363,a
214,362,a
212,361,a
210,360,a
207,358,a
202,354,a
198,349,a
194,346,a
192,344,a
191,343,a
191,342,a
191,342,a
191,343,a
191,344,a
193,345,a
195,346,a
199,348,a
204,349,a
211,351,a
221,353,a
229,355,a
237,357,a
243,357,a
248,358,a
251,358,a
253,358,a
255,358,a
255,357,a
256,355,a
257,349,a
259,342,a
260,335,a
261,330,a
261,326,a
262,323,a
262,319,a
262,315,a
262,310,a
262,306,a
262,304,a
262,303,a
262,302,a
262,302,a
261,301,a
261,301,a
260,300,a
259,300,a
258,299,a
257,298,a
255,297,a
253,296,a
251,294,a
249,292,a
246,289,a
243,287,a
240,285,a
238,284,a
236,283,a
234,282,a
232,282,a
231,282,a
229,281,a
228,281,a
227,281,a
226,281,a
224,281,a
223,281,a
221,281,a
219,281,a
218,280,a
216,280,a
215,280,a
214,280,a
213,280,a
212,279,a
210,279,a
209,279,a
208,279,a
208,278,a
207,278,a
207,278,a
206,278,a
206,278,a
206,278,a
206,278,a
207,278,a
207,278,a
207,278,a
207,278,a
207,278,a
208,278,a
208,278,a
208,279,a
209,279,a
209,279,a
209,279,a
209,279,a
210,280,a
210,280,a
210,280,a
210,280,a
211,280,a
213,280,a
217,280,a
224,280,a
234,281,a
246,283,a
259,285,a
271,289,a
284,294,a
296,300,a
306,306,a
315,313,a
324,320,a
330,325,a
333,328,a
335,330,a
335,331,a
336,332,a
337,334,a
338,337,a
340,343,a
343,350,a
348,359,a
354,370,a
363,383,a
373,397,a
382,410,a
389,419,a
392,424,a
393,426,a
394,427,a
394,427,a
393,426,a
393,425,a
392,423,a
391,421,a
390,419,a
389,416,a
388,414,a
387,412,a
385,410,a
384,409,a
382,406,a
380,404,a
376,399,a
371,390,a
365,381,a
361,372,a
356,365,a
353,359,a
351,353,a
348,345,a
346,334,a
344,324,a
344,313,a
344,301,a
344,293,a
345,287,a
347,282,a
349,279,a
352,276,a
356,275,a
362,274,a
369,274,a
378,274,a
386,274,a
395,274,a
405,276,a
416,280,a
426,284,a
436,291,a
446,298,a
454,304,a
460,311,a
464,314,a
466,316,a
466,318,a
467,318,a
467,319,a
467,319,a
467,319,a
467,319,a
467,320,a
467,320,a
467,320,a
467,320,a
467,321,a
467,321,a
467,322,a
467,322,a
466,323,a
466,323,a
466,323,a
466,323,a
466,324,a
466,324,a
466,324,a
465,324,a
465,324,a
465,324,a
465,324,a
465,324,a
